episode,epsilon,Q_Up,Q_Down,Q_LEFT,Q_RIGHT,visits
75,0.9992575,-1160.0685757386568,-901.1030923065842,-1.265672620226412,-4049.750997332406,55.0
76,0.9992476,-1160.0685757386568,-901.1030923065842,-1.265672620226412,-4049.750997332406,55.0
77,0.9992377,-1160.0685757386568,-901.1030923065842,-1.265672620226412,-4049.750997332406,55.0
78,0.9992278,-1160.0685757386568,-901.1030923065842,-1.3644069476061855,-4644.775897599166,57.0
79,0.9992179,-2044.0617181647913,-901.1030923065842,-1.3644069476061855,-4644.775897599166,58.0
80,0.999208,-1839.978115120357,-901.1030923065842,-1.4630425406585794,-4180.622859014031,61.0
81,0.9991981,-1839.978115120357,-901.1030923065842,-1.4630425406585794,-4180.622859014031,61.0
82,0.9991882,-1839.978115120357,-901.1030923065842,-1.4630425406585794,-4180.622859014031,61.0
83,0.9991783,-1839.978115120357,-901.1030923065842,-1.4630425406585794,-4180.622859014031,61.0
84,0.9991684,-1839.978115120357,-901.1030923065842,-1.4630425406585794,-4180.622859014031,61.0
85,0.9991585,-1491.0350412291887,-811.237624287451,-1.659296739015237,-4762.560573112628,66.0
86,0.9991486,-1491.0350412291887,-730.3781322358684,-1.659296739015237,-5286.304515801365,68.0
87,0.9991387,-1491.0350412291887,-730.3781322358684,-1.659296739015237,-5286.304515801365,68.0
88,0.9991288,-1491.0350412291887,-730.3781322358684,-1.659296739015237,-5757.674064221228,69.0
89,0.9991189,-1491.0350412291887,-657.6045893894441,-1.659296739015237,-6181.906657799105,71.0
90,0.999109,-1491.0350412291887,-657.6045893894441,-1.659296739015237,-6181.906657799105,71.0
91,0.9990991,-1342.281904595371,-657.6045893894441,-1.659296739015237,-6181.906657799105,72.0
92,0.9990892,-1342.281904595371,-657.6045893894441,-1.659296739015237,-6181.906657799105,72.0
93,0.9990793,-1342.281904595371,-657.6045893894441,-1.659296739015237,-6181.906657799105,72.0
94,0.9990694,-1342.281904595371,-657.6045893894441,-1.659296739015237,-6181.906657799105,72.0
95,0.9990595,-2208.053714135834,-657.6045893894441,-1.659296739015237,-6181.906657799105,73.0
96,0.9990496,-2208.053714135834,-657.6045893894441,-1.659296739015237,-6181.906657799105,73.0
97,0.9990397,-2208.053714135834,-657.6045893894441,-1.659296739015237,-6563.715992019194,74.0
98,0.9990298,-2208.053714135834,-592.1084008276622,-1.7576374422762218,-6907.344392817275,77.0
99,0.9990199,-2208.053714135834,-592.1084008276622,-1.7576374422762218,-6907.344392817275,77.0
100,0.99901,-2208.053714135834,-592.1084008276622,-1.7576374422762218,-6907.344392817275,77.0
101,0.9990001,-2208.053714135834,-592.1084008276622,-1.936256534325017,-6907.344392817275,78.0
102,0.9989902,-2208.053714135834,-592.1084008276622,-1.936256534325017,-6907.344392817275,78.0
103,0.9989803,-2208.053714135834,-592.1084008276622,-1.936256534325017,-6907.344392817275,78.0
104,0.9989704,-2208.053714135834,-592.1084008276622,-1.936256534325017,-6907.344392817275,78.0
105,0.9989605,-1987.6061645251923,-480.18046031465883,-2.034320277790692,-6216.901642932446,83.0
106,0.9989506,-1789.2033698756147,-480.18046031465883,-2.034320277790692,-6216.901642932446,84.0
107,0.9989407,-1789.2033698756147,-480.18046031465883,-2.034320277790692,-6216.901642932446,84.0
108,0.9989308,-1789.2033698756147,-480.18046031465883,-2.034320277790692,-6216.901642932446,84.0
109,0.9989209,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6216.901642932446,85.0
110,0.998911,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
111,0.9989011,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
112,0.9988912,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
113,0.9988813,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
114,0.9988714,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
115,0.9988615,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
116,0.9988516,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
117,0.9988417,-1789.2033698756147,-1432.162414283193,-2.034320277790692,-6595.211478639201,86.0
118,0.9988318,-2610.283032888053,-1432.162414283193,-2.034320277790692,-6595.211478639201,87.0
119,0.9988219,-2610.283032888053,-1432.162414283193,-2.034320277790692,-6595.211478639201,87.0
120,0.998812,-2610.283032888053,-1432.162414283193,-2.034320277790692,-6935.690330775281,88.0
121,0.9988021,-2610.283032888053,-1432.162414283193,-2.034320277790692,-6935.690330775281,88.0
122,0.9987922,-2610.283032888053,-1432.162414283193,-2.034320277790692,-6935.690330775281,88.0
123,0.9987823,-2349.6610875762067,-1432.162414283193,-2.034320277790692,-6935.690330775281,89.0
124,0.9987724,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
125,0.9987625,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
126,0.9987526,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
127,0.9987427,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
128,0.9987328,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
129,0.9987229,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
130,0.998713,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
131,0.9987031,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
132,0.9986932,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-6935.690330775281,90.0
133,0.9986833,-2115.1013367955447,-1432.162414283193,-2.034320277790692,-7242.121297697753,91.0
134,0.9986734,-2115.1013367955447,-1432.162414283193,-2.3408375405927497,-7242.121297697753,93.0
135,0.9986635,-2115.1013367955447,-1289.2779157713924,-2.3408375405927497,-7517.909167927978,95.0
136,0.9986536,-2115.1013367955447,-1289.2779157713924,-2.3408375405927497,-7517.909167927978,95.0
137,0.9986437,-2115.1013367955447,-1940.450880984592,-2.3408375405927497,-7517.909167927978,98.0
138,0.9986338,-2115.1013367955447,-1940.450880984592,-2.3408375405927497,-7517.909167927978,98.0
139,0.9986239,-1904.0320797662014,-1940.450880984592,-2.3408375405927497,-7517.909167927978,99.0
140,0.998614,-1904.0320797662014,-1940.450880984592,-2.3408375405927497,-7517.909167927978,99.0
141,0.9986041,-1904.0320797662014,-1940.450880984592,-2.3408375405927497,-7517.909167927978,99.0
142,0.9985942,-1904.0320797662014,-1940.450880984592,-2.3408375405927497,-7517.909167927978,99.0
